ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	6	1,223	#4687d7	2017-01-14	Top 200	lu
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	7	1,186	#3e3e40	2017-01-14	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	8	1,179	#3e3e40	2017-01-14	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	9	1,147	#84bd00	2017-01-14	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	10	1,141	#bd3200	2017-01-14	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	11	1,091	#bd3200	2017-01-14	Top 200	lu
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	12	1,055	#4687d7	2017-01-14	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,006	#3e3e40	2017-01-15	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,438	#3e3e40	2017-01-15	Top 200	lu
72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	3	1,309	#84bd00	2017-01-15	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	1,275	#84bd00	2017-01-15	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	5	1,275	#bd3200	2017-01-15	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	6	1,268	#bd3200	2017-01-15	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	7	1,092	#84bd00	2017-01-15	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	8	1,088	#84bd00	2017-01-15	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	9	1,024	#84bd00	2017-01-15	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,202	#3e3e40	2017-01-16	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,442	#3e3e40	2017-01-16	Top 200	lu
72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	3	1,369	#3e3e40	2017-01-16	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,354	#84bd00	2017-01-16	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	5	1,301	#bd3200	2017-01-16	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	6	1,296	#3e3e40	2017-01-16	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,103	#84bd00	2017-01-16	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,077	#3e3e40	2017-01-17	Top 200	lu
72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	2	1,556	#84bd00	2017-01-17	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	3	1,434	#bd3200	2017-01-17	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	4	1,346	#84bd00	2017-01-17	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	5	1,277	#bd3200	2017-01-17	Top 200	lu
