artist_id	name	followers	popularity	main_genre	genres	image_url
1SZdTuxme3mOk0D9pUFrET	En	52195	33	chinese viral pop	['chinese viral pop']	https://i.scdn.co/image/ab67616d0000b2733cecb4884c96fab9497992b0
2huJriDdszMOZB0wQDAeh7	MinervaJames	2402	0		[]	https://i.scdn.co/image/ab67616d0000b273e23e908de815238403e491ee
3Ns8UOBpYqUaH85SegW5ro	Hot Like Sushi	738	3	basel indie	['basel indie']	https://i.scdn.co/image/ab6761610000e5ebf341a837649448601cfb5f4a
09iEIVQVBtTVjiuEdqqkIR	Wade	96045	54	tech house	['tech house']	https://i.scdn.co/image/ab6761610000e5ebaeef3da421c3bd1792b528f3
3fQF9afCcfD3ugTClacHPZ	Charlieblouse and The Milkyboys	100	0	singaporean indie	['singaporean indie']	https://i.scdn.co/image/ab67616d0000b273901e8948b8fba061d5cc7cd7
2F7aahPvKUVxfBQ19d0JLK	Palace Winter	12263	23	chamber psych	['chamber psych', 'danish alternative rock']	https://i.scdn.co/image/ab6761610000e5eb258400eaffe0affef2dd3b73
07PdYoE4jVRF6Ut40GgVSP	Cartel De Santa	14598353	78	latin hip hop	['latin hip hop', 'mexican hip hop', 'nueva musica mexicana']	https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
0GMSpOzEVXA4kboHiyvddO	Blanca	86066	48	ccm	['ccm', 'christian alternative rock']	https://i.scdn.co/image/ab6761610000e5eb9a50d8ae4f7bfc460e41ebaf
21Bs9kIHOR5CXQTOpFBh0z	Bang Boss	8	9		[]	
3OEszbK3rkR3Nv5MNm5g0o	Greench	135	5		[]	https://i.scdn.co/image/ab67616d0000b273420947098c0c3f8de6e15410
0AApwlqwocARmtz9ANOI7X	Šmikis	94	2		[]	https://i.scdn.co/image/ab6761610000e5ebca83fc74d544c2beff1f6758
791x09Ix1mNc1hGhbD7IOW	Le classico organisé	153267	54		[]	https://i.scdn.co/image/ab6761610000e5eb620918d5fe62757c10d43a65
5aEE6nBaJ4POGCoFKCpK8K	Dr. Bombay	26107	35	bubblegum dance	['bubblegum dance', 'eurodance']	https://i.scdn.co/image/ab6761610000e5eb1f77372d799a0ef62cff72c3
5SHRnc9Tl14jqVV0CTr49B	Giancane	34494	43	italian alternative	['italian alternative', 'italian indie pop', 'rome indie']	https://i.scdn.co/image/ab6761610000e5ebc6d04b9291ac0194422fb78b
7FhRUp59cBzPaxobsRY1Nc	Bay Ledges	55649	56	la pop	['la pop']	https://i.scdn.co/image/ab6761610000e5ebafd77401d3494c36d065d113
1tWZDk56cffZfgjmgHWuXD	Sus	69515	54	uk drill	['uk drill']	https://i.scdn.co/image/ab6761610000e5ebb339b6ff7f5607b21ed0a4f0
3M9XAM57a4qFz3v6Lq27t2	Kellin Quinn	69642	64		[]	https://i.scdn.co/image/ab6761610000e5ebfb4ebdcfe9f52548d366f392
30BfcSJWzhUo4QIlBVJ6PK	Leila Chicot	19554	32	zouk	['zouk', 'zouk riddim']	https://i.scdn.co/image/ab67616d0000b273b132016d89eb5b603633e23b
0sG2HOcaA6eqnGTeLMJpRm	Eda Baba	271759	44	turkish alt pop	['turkish alt pop', 'turkish pop', 'turkish rock']	https://i.scdn.co/image/ab6761610000e5ebedf9573a0e3edddfe3fbccc4
0O5Ey9aia2I9ClbKxqYQBR	Lil Wesey	27	0		[]	https://i.scdn.co/image/ab6761610000e5eb374c7eb9407ced535b701e19
21zwtepZXQ7BvTPXRSMkD7	LeeBoo	22	7		[]	https://i.scdn.co/image/ab6761610000e5eb185310e108c599aad96b1ac2
3uSXE9Yi7Bs4wMbeTsuLSs	Beyza Malakcı	53	0		[]	
0JloLTvvfBSJY5cW6ndZpZ	PSL	12075	23		[]	https://i.scdn.co/image/ab6761610000e5eb3cd597aec754f9c3e7eda284
4VHLPOtj6jnjbe9kIxFHA9	K1NG	535	34		[]	https://i.scdn.co/image/ab6761610000e5ebe9c2694e8ee1417373fc7c42
2TFgq6bfYqFO0UgSumClOm	PATRICIA	4023	26		[]	https://i.scdn.co/image/ab6761610000e5eb1e2ed21993d1d56b9ac71369
2TyFDFjFu3Dd0lEAthyct6	Ericko Lim	14803	28	indonesian hip hop	['indonesian hip hop']	https://i.scdn.co/image/ab67616d0000b273cb9819a8259408e9fccc5bd0
6hBbagFZrwC44AclzbxWvU	DJ Sivo	6209	36	turkish hip hop	['turkish hip hop']	https://i.scdn.co/image/ab6761610000e5eb19c9435a09bfb997d680c0b5
1MkvWPAIDYqY8YbNpzRJYK	Psychic Type	10870	25		[]	https://i.scdn.co/image/ab6761610000e5eb8497595703c5e5519f041bdb
7pDaLlcvx6EMD5w3nuAIB5	Teodora	198470	54	turbo folk	['turbo folk']	https://i.scdn.co/image/ab6761610000e5eb62a89922345ea931e3af2548
