provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,CO,2020,Top 200,Queen,470,2,95,159.831915,0,0,4685388,470,20
MGD,SPOTIFY,CO,2020,Top 200,"Rauw Alejandro, Farruko",465,2,2,66.597849,58,233,12835224,465,21
MGD,SPOTIFY,CO,2020,Top 200,Greeicy,446,3,6,46.414798,16,303,13545984,446,22
MGD,SPOTIFY,CO,2020,Top 200,"Greeicy, Mike Bahía",441,2,37,150.297052,0,8,4756249,441,23
MGD,SPOTIFY,CO,2020,Top 200,Anuel AA,431,13,7,103.733179,5,79,7284339,431,24
MGD,SPOTIFY,CO,2020,Top 200,Manuel Turizo,414,5,13,82.084541,0,244,11565086,414,25
MGD,SPOTIFY,CO,2021,Top 200,Bad Bunny,3319,21,1,101.759566,207,568,80798808,3319,1
MGD,SPOTIFY,CO,2021,Top 200,Feid,1517,23,1,69.988794,227,778,60255477,1517,2
MGD,SPOTIFY,CO,2021,Top 200,KAROL G,1287,10,2,61.177156,92,694,43819667,1287,3
MGD,SPOTIFY,CO,2021,Top 200,Olivia Rodrigo,1269,14,13,103.862884,0,201,24875989,1269,4
MGD,SPOTIFY,CO,2021,Top 200,Rauw Alejandro,1148,13,1,80.351045,152,478,42714141,1148,5
MGD,SPOTIFY,CO,2021,Top 200,J Balvin,1148,19,7,103.439024,2,256,21751958,1148,6
MGD,SPOTIFY,CO,2021,Top 200,Christian Nodal,1122,7,37,120.100713,0,27,17561876,1122,7
MGD,SPOTIFY,CO,2021,Top 200,Camilo,1120,12,7,97.064286,19,185,22198919,1120,8
MGD,SPOTIFY,CO,2021,Top 200,Maluma,1104,15,3,71.252717,162,630,37116207,1104,9
MGD,SPOTIFY,CO,2021,Top 200,Dua Lipa,1053,5,26,106.784425,0,122,18236100,1053,10
MGD,SPOTIFY,CO,2021,Top 200,The Weeknd,863,8,10,82.125145,1,287,20436659,863,11
MGD,SPOTIFY,CO,2021,Top 200,Sech,767,8,2,71.77575,65,314,23640975,767,12
MGD,SPOTIFY,CO,2021,Top 200,Paulo Londra,727,3,108,163.563961,0,0,9125479,727,13
MGD,SPOTIFY,CO,2021,Top 200,Doja Cat,708,6,25,86.874294,0,132,15454088,708,14
MGD,SPOTIFY,CO,2021,Top 200,"J Balvin, Bad Bunny",705,2,31,100.005674,0,51,13443761,705,15
MGD,SPOTIFY,CO,2021,Top 200,Myke Towers,589,15,22,108.505942,0,130,11780857,589,16
MGD,SPOTIFY,CO,2021,Top 200,Boza,578,3,5,73.638408,72,254,18330865,578,17
MGD,SPOTIFY,CO,2021,Top 200,Don Omar,551,3,97,152.760436,0,0,7371350,551,18
MGD,SPOTIFY,CO,2021,Top 200,BTS,533,18,4,83.572233,17,127,13181935,533,19
MGD,SPOTIFY,CO,2021,Top 200,Ed Sheeran,498,7,57,145.287149,0,0,6745214,498,20
MGD,SPOTIFY,CO,2021,Top 200,Ryan Castro,493,4,3,15.675456,236,471,33600627,493,21
MGD,SPOTIFY,CO,2021,Top 200,Justin Quiles,478,4,18,76.5,0,178,11429645,478,22
MGD,SPOTIFY,CO,2021,Top 200,Lil Nas X,454,6,12,68.680617,0,197,12701961,454,23
MGD,SPOTIFY,CO,2021,Top 200,Farruko,439,4,2,53.378132,80,286,19741489,439,24
MGD,SPOTIFY,CO,2021,Top 200,Harry Styles,433,3,51,118.593533,0,0,6421675,433,25
MGD,SPOTIFY,CO,2022,Top 200,Bad Bunny,972,18,3,89.701646,72,173,28264807,972,1
MGD,SPOTIFY,CO,2022,Top 200,Feid,660,13,5,77.369697,63,316,24931880,660,2
MGD,SPOTIFY,CO,2022,Top 200,Ryan Castro,288,4,3,12.645833,161,287,22362938,288,3
MGD,SPOTIFY,CO,2022,Top 200,KAROL G,280,4,18,85.782143,0,143,8480748,280,4
MGD,SPOTIFY,CO,2022,Top 200,Doja Cat,213,3,74,120.173709,0,0,3905617,213,5
MGD,SPOTIFY,CO,2022,Top 200,The Weeknd,202,13,55,137.024752,0,0,3518240,202,6
MGD,SPOTIFY,CO,2022,Top 200,Maluma,196,3,13,43.183673,0,102,7713362,196,7
MGD,SPOTIFY,CO,2022,Top 200,Christian Nodal,189,5,40,127.42328,0,8,3606072,189,8
MGD,SPOTIFY,CO,2022,Top 200,Paulo Londra,182,3,109,157.489011,0,0,2916483,182,9
MGD,SPOTIFY,CO,2022,Top 200,Rauw Alejandro,158,5,12,47.303797,0,135,6591766,158,10
MGD,SPOTIFY,CO,2022,Top 200,Olivia Rodrigo,148,3,126,163.878378,0,0,2263120,148,11
MGD,SPOTIFY,CO,2022,Top 200,"J Balvin, Bad Bunny",141,2,24,86.914894,0,71,4419007,141,12
MGD,SPOTIFY,CO,2022,Top 200,Sebastian Yatra,140,6,26,70.792857,0,71,4527885,140,13
MGD,SPOTIFY,CO,2022,Top 200,Don Omar,138,3,106,161.536232,0,0,2171642,138,14
MGD,SPOTIFY,CO,2022,Top 200,Trueno,137,2,61,145.350365,0,0,2307787,137,15
MGD,SPOTIFY,CO,2022,Top 200,Dua Lipa,128,2,103,144.851562,0,0,2106642,128,16
MGD,SPOTIFY,CO,2022,Top 200,"Ryan Castro, Blessd",124,2,5,44.951613,21,52,5560438,124,17
MGD,SPOTIFY,CO,2022,Top 200,Calibre 50,115,2,64,135.513043,0,0,2008779,115,18
MGD,SPOTIFY,CO,2022,Top 200,Grupo Niche,102,6,25,72.852941,0,73,3596581,102,19
MGD,SPOTIFY,CO,2022,Top 200,Lil Nas X,97,2,66,112.309278,0,0,1879463,97,20
MGD,SPOTIFY,CO,2022,Top 200,Andy Rivera,90,2,71,133.511111,0,0,1573676,90,21
MGD,SPOTIFY,CO,2022,Top 200,Morat,83,3,17,116.686747,0,6,1766299,83,22
MGD,SPOTIFY,CO,2022,Top 200,Boza,79,3,120,152.265823,0,0,1259288,79,23
MGD,SPOTIFY,CO,2022,Top 200,Adele,77,2,50,80.337662,0,7,1874695,77,24
MGD,SPOTIFY,CO,2022,Top 200,Danny Ocean,76,2,102,124.881579,0,0,1349466,76,25
MGD,SPOTIFY,CR,2018,Top 200,Ozuna,2337,18,1,69.931536,355,1087,16678600,2337,1
MGD,SPOTIFY,CR,2018,Top 200,Ed Sheeran,1655,6,18,85.500906,0,491,7810547,1655,2
MGD,SPOTIFY,CR,2018,Top 200,XXXTENTACION,1323,28,2,105.495843,7,145,5189260,1323,3
MGD,SPOTIFY,CR,2018,Top 200,Bad Bunny,1176,22,1,82.266156,142,476,8704371,1176,4
MGD,SPOTIFY,CR,2018,Top 200,Maluma,1127,10,17,99.968944,0,321,4975823,1127,5
MGD,SPOTIFY,CR,2018,Top 200,Piso 21,1040,9,1,69.108654,161,435,7709983,1040,6
MGD,SPOTIFY,CR,2018,Top 200,Queen,989,17,3,105.983822,24,237,4466343,989,7
MGD,SPOTIFY,CR,2018,Top 200,Manuel Turizo,987,5,5,61.277609,54,445,6271725,987,8
MGD,SPOTIFY,CR,2018,Top 200,Drake,940,30,1,66.293617,121,393,6498485,940,9
MGD,SPOTIFY,CR,2018,Top 200,Post Malone,914,20,20,100.775711,0,137,3708001,914,10
MGD,SPOTIFY,CR,2018,Top 200,Imagine Dragons,907,20,39,92.296582,0,60,3511989,907,11
MGD,SPOTIFY,CR,2018,Top 200,Sebastian Yatra,902,11,8,94.350333,37,257,4568548,902,12
MGD,SPOTIFY,CR,2018,Top 200,Danny Ocean,873,3,7,50.808706,6,490,6048325,873,13
MGD,SPOTIFY,CR,2018,Top 200,Sam Smith,834,8,33,133.652278,0,45,2749118,834,14
MGD,SPOTIFY,CR,2018,Top 200,Bruno Mars,822,7,51,140.635036,0,0,2467934,822,15
MGD,SPOTIFY,CR,2018,Top 200,Dua Lipa,731,5,18,56.451436,0,303,4303370,731,16
MGD,SPOTIFY,CR,2018,Top 200,Zion & Lennox,706,3,2,54.672805,133,304,5230005,706,17
MGD,SPOTIFY,CR,2018,Top 200,Ariana Grande,692,21,3,82.706647,37,214,3733564,692,18
MGD,SPOTIFY,CR,2018,Top 200,CNCO,635,11,19,113.519685,0,128,2593452,635,19
MGD,SPOTIFY,CR,2018,Top 200,Romeo Santos,563,4,64,128.849023,0,0,1743990,563,20
MGD,SPOTIFY,CR,2018,Top 200,Paulo Londra,557,9,1,78.630162,55,243,3777056,557,21
MGD,SPOTIFY,CR,2018,Top 200,Anuel AA,547,5,3,93.47532,89,137,3473401,547,22
